Iteration,Discriminator Loss,Generator Loss
0,69.850578,0.000000
10,24.136003,0.032051
20,3.045817,4.510194
30,0.189030,7.695539
40,0.009140,6.376452
50,0.000313,9.208819
60,0.000006,12.890983
70,0.000000,15.702989
80,0.000000,17.210161
90,0.000000,18.166319
100,0.000000,18.707645
110,0.000000,19.940557
120,0.000000,19.679781
130,0.000000,20.560043
140,0.000000,21.511414
150,0.000000,23.870167
160,0.000001,22.778963
170,0.000004,24.434578
180,0.000001,23.357929
190,0.000017,25.526829
200,0.000002,25.068420
210,0.000002,27.017761
220,0.000218,21.288641
230,0.000698,20.639265
240,0.000746,20.141596
250,0.012058,11.525971
260,0.003832,14.654616
270,0.014389,14.217067
280,0.153622,13.687976
290,0.432651,12.153219
300,0.214740,10.753369
310,0.123584,9.659189
320,0.158319,5.615969
330,0.493881,6.150761
340,0.554073,2.984490
350,0.619678,3.746372
360,0.702347,6.466055
370,0.319489,4.734808
380,0.579945,5.919749
390,0.206358,4.616962
400,0.240594,4.395525
410,0.278167,3.478310
420,0.588225,2.482160
430,0.672499,2.990715
440,0.660465,1.914755
450,0.567801,3.104365
460,0.447723,3.174956
470,0.462563,3.562222
480,0.177395,4.041443
490,0.358735,2.609772
500,0.395251,2.469125
510,0.304178,2.827000
520,0.197382,3.018181
530,0.502594,2.572020
540,0.312513,2.144287
550,0.340775,2.214295
560,0.226245,3.688488
570,0.163660,3.652874
580,0.412476,4.059764
590,0.184262,4.445333
600,0.306410,3.200682
610,0.249018,3.323294
620,0.235461,4.154073
630,0.164915,3.034826
640,0.113982,4.806963
650,0.096752,4.146219
660,0.136050,3.780058
670,0.351445,2.480018
680,0.215702,4.650188
690,0.153176,3.984722
700,0.292780,3.287489
710,0.056185,5.042822
720,0.138570,6.649426
730,0.152861,4.254606
740,0.194065,4.739157
750,0.057943,4.870348
760,0.108307,4.120107
770,0.180686,4.254827
780,0.067700,5.259799
790,0.233867,3.911843
800,0.088868,4.908239
810,0.094002,5.091371
820,0.097205,6.013100
830,0.126188,4.525036
840,0.022425,6.937466
850,0.018582,6.167866
860,0.071812,4.939738
870,0.034726,5.851693
880,0.039526,4.926885
890,0.065718,5.697046
900,0.147632,5.284107
910,0.057494,6.672050
920,0.034569,5.260662
930,0.046597,5.688263
940,0.153526,6.773639
950,0.021745,6.373940
960,0.052655,6.848537
970,0.036522,5.768386
980,0.019133,7.217100
990,0.022580,6.047269
1000,0.118980,4.417717
1010,0.068617,6.327661
1020,0.052619,7.570841
1030,0.024115,6.940155
1040,0.056668,6.143112
1050,0.051991,6.078265
1060,0.030679,5.765876
1070,0.046943,5.110527
1080,0.039572,6.191734
1090,0.275916,3.765199
1100,0.077059,5.694774
1110,0.120711,8.057540
1120,0.036894,6.404639
1130,0.026677,7.669351
1140,0.097436,5.179247
1150,0.024760,7.388507
1160,0.044508,5.948628
1170,0.063479,5.745758
1180,0.032962,6.804099
1190,0.104660,5.122705
1200,0.059236,5.585711
1210,0.052541,7.580446
1220,0.126928,5.916727
1230,0.069104,6.483185
1240,0.074359,6.859826
1250,0.658149,2.636535
1260,0.179169,4.653710
1270,0.031070,8.873524
1280,0.053113,6.715137
1290,0.040991,5.779902
1300,0.010486,6.719384
1310,0.047678,6.041754
1320,0.027930,8.140986
1330,0.062453,8.188586
1340,0.030746,6.335754
1350,0.048853,5.239125
1360,0.010924,7.846621
1370,0.094029,5.639064
1380,0.010910,8.335855
1390,0.027180,6.326508
1400,0.046316,5.331313
1410,0.023494,5.947627
1420,0.026903,7.042394
1430,0.050352,5.260777
1440,0.011741,7.009351
1450,0.049379,5.927277
1460,0.022264,5.787838
1470,0.054468,6.407408
1480,0.037877,6.054808
1490,0.065327,5.635571
1500,0.074554,6.477875
1510,0.041110,6.143749
1520,0.017136,6.809794
1530,0.089085,6.451560
1540,0.024952,6.524487
1550,0.121555,5.536083
1560,0.056144,7.191911
1570,0.029072,6.106769
1580,0.068042,7.052848
1590,0.045307,6.420195
1600,0.096273,5.339466
1610,0.054602,6.866612
1620,0.012669,6.256082
1630,0.033522,6.895985
1640,0.161830,5.584732
1650,0.140327,7.345306
1660,0.046395,7.711371
1670,0.018055,8.179386
1680,0.097427,5.862686
1690,0.015603,7.217813
1700,0.232293,8.489810
1710,0.122110,6.556829
1720,0.026841,6.138737
1730,0.044376,6.581421
1740,0.101494,5.855632
1750,0.126910,8.575184
1760,0.091934,6.598842
1770,0.013129,7.235673
1780,0.099082,6.104532
1790,0.026915,8.333325
1800,0.089624,6.300383
1810,0.025311,9.625028
1820,0.020049,6.740019
1830,0.152181,6.495572
1840,0.020297,6.732372
1850,0.090952,6.430585
1860,0.113538,7.818512
1870,0.025484,6.883063
1880,0.053898,5.603516
1890,0.051678,6.449060
1900,0.045463,6.377821
1910,0.039547,7.813996
1920,0.148268,8.089205
1930,0.017535,7.315775
1940,0.094474,4.798770
1950,0.117955,5.672566
1960,0.009053,6.412836
1970,0.039466,6.731633
1980,0.086313,6.907080
1990,0.047406,5.524490
